ERROR [2023-09-07 11:58:38] Data quality issues !
      verb redux_fn                                            predicate
1   assert       NA within_bounds(lowerb, upperb, includelow, includeup)
2   assert       NA within_bounds(lowerb, upperb, includelow, includeup)
3   assert       NA within_bounds(lowerb, upperb, includelow, includeup)
4   assert       NA within_bounds(lowerb, upperb, includelow, includeup)
5   assert       NA within_bounds(lowerb, upperb, includelow, includeup)
6   assert       NA within_bounds(lowerb, upperb, includelow, includeup)
7   assert       NA within_bounds(lowerb, upperb, includelow, includeup)
8   assert       NA within_bounds(lowerb, upperb, includelow, includeup)
9   assert       NA within_bounds(lowerb, upperb, includelow, includeup)
10  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
11  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
12  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
13  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
14  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
15  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
16  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
17  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
18  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
19  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
20  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
21  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
22  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
23  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
24  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
25  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
26  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
27  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
28  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
29  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
30  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
31  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
32  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
33  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
34  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
35  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
36  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
37  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
38  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
39  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
40  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
41  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
42  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
43  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
44  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
45  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
46  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
47  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
48  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
49  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
50  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
51  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
52  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
53  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
54  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
55  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
56  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
57  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
58  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
59  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
60  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
61  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
62  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
63  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
64  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
65  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
66  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
67  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
68  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
69  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
70  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
71  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
72  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
73  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
74  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
75  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
76  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
77  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
78  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
79  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
80  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
81  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
82  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
83  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
84  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
85  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
86  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
87  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
88  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
89  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
90  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
91  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
92  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
93  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
94  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
95  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
96  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
97  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
98  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
99  assert       NA within_bounds(lowerb, upperb, includelow, includeup)
100 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
101 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
102 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
103 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
104 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
105 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
106 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
107 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
108 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
109 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
110 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
111 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
112 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
113 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
114 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
115 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
116 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
117 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
118 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
119 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
120 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
121 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
122 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
123 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
124 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
125 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
126 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
127 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
128 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
129 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
130 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
131 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
132 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
133 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
134 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
135 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
136 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
137 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
138 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
139 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
140 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
141 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
142 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
143 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
144 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
145 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
146 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
147 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
148 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
149 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
150 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
151 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
